Short Name,Long Name,Global ID
109,01.West.640,1EcnkFUEX4Ghhefn8c67Bd
110,01.West.650,1EcnkFUEX4Ghhefn8c67Bc
111,01.West.670,1EcnkFUEX4Ghhefn8c67AP
112,01.West.690,1EcnkFUEX4Ghhefn8c67AO
113,01.West.700,1EcnkFUEX4Ghhefn8c67AR
114,01.West.710,1EcnkFUEX4Ghhefn8c67AQ
115,01.West.720,1EcnkFUEX4Ghhefn8c67AT
116,01.West.730,1EcnkFUEX4Ghhefn8c67AS
117,01.West.740,1EcnkFUEX4Ghhefn8c67AV
118,01.West.750,1EcnkFUEX4Ghhefn8c67AU
119,01.West.760,1EcnkFUEX4Ghhefn8c67AH
120,01.West.770,1EcnkFUEX4Ghhefn8c67AG
121,01.West.771,1EcnkFUEX4Ghhefn8c67AJ
122,01.West.780,1EcnkFUEX4Ghhefn8c67AI
123,01.West.790,1EcnkFUEX4Ghhefn8c67AL
124,01.West.800,1EcnkFUEX4Ghhefn8c67AK
125,01.West.801,1EcnkFUEX4Ghhefn8c67AN
126,01.West.802,1EcnkFUEX4Ghhefn8c67AM
127,01.West.803,1EcnkFUEX4Ghhefn8c67A9
128,01.West.804,1EcnkFUEX4Ghhefn8c67A8
129,01.West.806,1EcnkFUEX4Ghhefn8c67AB
130,01.West.807,1EcnkFUEX4Ghhefn8c67AA
131,01.West.808,1EcnkFUEX4Ghhefn8c67AD
132,01.West.812,1EcnkFUEX4Ghhefn8c67AC
133,01.West.813,1EcnkFUEX4Ghhefn8c67AF
134,01.West.815,1EcnkFUEX4Ghhefn8c67AE
135,01.West.817,1EcnkFUEX4Ghhefn8c67A1
136,01.West.849,1EcnkFUEX4Ghhefn8c67A0
137,01.West.851,1EcnkFUEX4Ghhefn8c67A3
138,01.West.852,1EcnkFUEX4Ghhefn8c67A2
139,01.West.853,1EcnkFUEX4Ghhefn8c67A5
140,01.West.854,1EcnkFUEX4Ghhefn8c67A4
141,01.West.856,1EcnkFUEX4Ghhefn8c67A7
142,01.West.857,1EcnkFUEX4Ghhefn8c67A6
143,01.West.858,1EcnkFUEX4Ghhefn8c67Av
144,01.West.859,1EcnkFUEX4Ghhefn8c67Au
145,01.West.861,1EcnkFUEX4Ghhefn8c67Ax
146,01.West.862,1EcnkFUEX4Ghhefn8c67Aw
147,01.West.863,1EcnkFUEX4Ghhefn8c67Az
148,01.West.866,1EcnkFUEX4Ghhefn8c67Ay
149,01.west.867,1EcnkFUEX4Ghhefn8c67A$
150,01+.Mid.010,1EcnkFUEX4Ghhefn8c67A_
151,01+.Mid.020,1EcnkFUEX4Ghhefn8c67An
152,01+.Mid.030,1EcnkFUEX4Ghhefn8c67Am
153,01+.Mid.070,1EcnkFUEX4Ghhefn8c67Ap
154,01+.Mid.801,1EcnkFUEX4Ghhefn8c67Ao
155,01+.Mid.802,1EcnkFUEX4Ghhefn8c67Ar
157,01+.Mid.853,1EcnkFUEX4Ghhefn8c67At
159,01+.Mid.855,1EcnkFUEX4Ghhefn8c67Af
160,01+.Oost.180,1EcnkFUEX4Ghhefn8c67Ae
161,01+.Oost.700,1EcnkFUEX4Ghhefn8c67Ah
162,01+.Oost.710,1EcnkFUEX4Ghhefn8c67Ag
163,01+.Oost.730,1EcnkFUEX4Ghhefn8c67Aj
164,01+.Oost.760,1EcnkFUEX4Ghhefn8c67Ai
166,01+.Oost.810,1EcnkFUEX4Ghhefn8c67Ak
169,01+.Oost.860,1EcnkFUEX4Ghhefn8c67AZ
170,01+.Oost.867,1EcnkFUEX4Ghhefn8c67AY
173,01+.West.010,1EcnkFUEX4Ghhefn8c67Ad
174,01+.West.020,1EcnkFUEX4Ghhefn8c67Ac
175,01+.West.030,1EcnkFUEX4Ghhefn8c675P
176,01+.West.040,1EcnkFUEX4Ghhefn8c675O
177,01+.West.041,1EcnkFUEX4Ghhefn8c675R
